[2026-04-20T17:08:59.269Z] LOG   Scraping jobs...
[2026-04-20T17:09:56.377Z] LOG   [scraper] https://boards.greenhouse.io/ardentmc/jobs/7819766?gh_jid=7819766
[2026-04-20T17:09:57.254Z] LOG   [scraper] https://boards.greenhouse.io/ardentmc/jobs/6440890?gh_jid=6440890
[2026-04-20T17:09:57.274Z] LOG   [scraper] https://boards.greenhouse.io/ardentmc/jobs/7295176?gh_jid=7295176
[2026-04-20T17:09:57.274Z] LOG   [scraper] https://boards.greenhouse.io/ardentmc/jobs/7736984?gh_jid=7736984
[2026-04-20T17:09:57.331Z] LOG   [scraper] https://boards.greenhouse.io/ardentmc/jobs/7295282?gh_jid=7295282
[2026-04-20T17:09:57.344Z] LOG   [scraper] https://boards.greenhouse.io/ardentmc/jobs/7739476?gh_jid=7739476
[2026-04-20T17:09:58.222Z] LOG   [scraper] https://boards.greenhouse.io/ardentmc/jobs/7826313?gh_jid=7826313
[2026-04-20T17:09:58.358Z] LOG   [scraper] https://boards.greenhouse.io/ardentmc/jobs/6673796?gh_jid=6673796
[2026-04-20T17:09:58.407Z] LOG   [scraper] https://boards.greenhouse.io/ardentmc/jobs/7528394?gh_jid=7528394
[2026-04-20T17:09:58.418Z] LOG   [scraper] https://boards.greenhouse.io/ardentmc/jobs/7528431?gh_jid=7528431
[2026-04-20T17:09:59.033Z] LOG   [scraper] https://boards.greenhouse.io/ardentmc/jobs/6980100?gh_jid=6980100
[2026-04-20T17:09:59.841Z] LOG   [scraper] https://boards.greenhouse.io/ardentmc/jobs/7733674?gh_jid=7733674
[2026-04-20T17:09:59.935Z] LOG   [scraper] https://boards.greenhouse.io/ardentmc/jobs/7739327?gh_jid=7739327
[2026-04-20T17:10:00.015Z] LOG   [scraper] https://boards.greenhouse.io/ardentmc/jobs/6219325?gh_jid=6219325
[2026-04-20T17:10:00.039Z] LOG   [scraper] https://boards.greenhouse.io/ardentmc/jobs/7819762?gh_jid=7819762
[2026-04-20T17:10:00.107Z] LOG   [scraper] https://boards.greenhouse.io/ardentmc/jobs/7826306?gh_jid=7826306
[2026-04-20T17:10:01.047Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/5037046007?gh_jid=5037046007
[2026-04-20T17:10:01.077Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/5061295007?gh_jid=5061295007
[2026-04-20T17:10:01.222Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/5107162007?gh_jid=5107162007
[2026-04-20T17:10:01.231Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/4910739007?gh_jid=4910739007
[2026-04-20T17:10:03.574Z] LOG   [scraper] https://boards.greenhouse.io/ardentmc/jobs/7827149?gh_jid=7827149
[2026-04-20T17:10:04.497Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/5000486007?gh_jid=5000486007
[2026-04-20T17:10:04.503Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/5032351007?gh_jid=5032351007
[2026-04-20T17:10:04.647Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/5103907007?gh_jid=5103907007
[2026-04-20T17:10:04.681Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/5102282007?gh_jid=5102282007
[2026-04-20T17:10:04.761Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/5078023007?gh_jid=5078023007
[2026-04-20T17:10:05.734Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/5057131007?gh_jid=5057131007
[2026-04-20T17:10:05.759Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/5053108007?gh_jid=5053108007
[2026-04-20T17:10:05.933Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/5101597007?gh_jid=5101597007
[2026-04-20T17:10:05.936Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/5061611007?gh_jid=5061611007
[2026-04-20T17:10:05.979Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/5057132007?gh_jid=5057132007
[2026-04-20T17:10:06.973Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/5053111007?gh_jid=5053111007
[2026-04-20T17:10:07.066Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/4774803007?gh_jid=4774803007
[2026-04-20T17:10:07.123Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/4926917007?gh_jid=4926917007
[2026-04-20T17:10:07.164Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/4926908007?gh_jid=4926908007
[2026-04-20T17:10:07.192Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/4795856007?gh_jid=4795856007
[2026-04-20T17:10:08.175Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/5075760007?gh_jid=5075760007
[2026-04-20T17:10:08.262Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/5032464007?gh_jid=5032464007
[2026-04-20T17:10:08.302Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/5076520007?gh_jid=5076520007
[2026-04-20T17:10:08.466Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/5045513007?gh_jid=5045513007
[2026-04-20T17:10:08.510Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/5100706007?gh_jid=5100706007
[2026-04-20T17:10:09.460Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/5027655007?gh_jid=5027655007
[2026-04-20T17:10:09.567Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/5029722007?gh_jid=5029722007
[2026-04-20T17:10:09.697Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/5084907007?gh_jid=5084907007
[2026-04-20T17:10:09.742Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/4845566007?gh_jid=4845566007
[2026-04-20T17:10:10.237Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/5065741007?gh_jid=5065741007
[2026-04-20T17:10:11.123Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/5024754007?gh_jid=5024754007
[2026-04-20T17:10:11.196Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/5056395007?gh_jid=5056395007
[2026-04-20T17:10:11.261Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/4619191007?gh_jid=4619191007
[2026-04-20T17:10:11.322Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/4951316007?gh_jid=4951316007
[2026-04-20T17:10:17.380Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/5050522007?gh_jid=5050522007
[2026-04-20T17:10:18.225Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/5043844007?gh_jid=5043844007
[2026-04-20T17:10:18.416Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/4951318007?gh_jid=4951318007
[2026-04-20T17:10:18.521Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/4951325007?gh_jid=4951325007
[2026-04-20T17:10:18.543Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/5040889007?gh_jid=5040889007
[2026-04-20T17:10:18.544Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/5111193007?gh_jid=5111193007
[2026-04-20T17:10:19.580Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/5008207007?gh_jid=5008207007
[2026-04-20T17:10:19.630Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/4802288007?gh_jid=4802288007
[2026-04-20T17:10:19.740Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/4925945007?gh_jid=4925945007
[2026-04-20T17:10:19.773Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/4745669007?gh_jid=4745669007
[2026-04-20T17:10:19.843Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/4802276007?gh_jid=4802276007
[2026-04-20T17:10:20.920Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/5072024007?gh_jid=5072024007
[2026-04-20T17:10:20.949Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/5067006007?gh_jid=5067006007
[2026-04-20T17:10:21.061Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/4802297007?gh_jid=4802297007
[2026-04-20T17:10:21.071Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/5029084007?gh_jid=5029084007
[2026-04-20T17:10:21.131Z] LOG   [scraper] https://boards.greenhouse.io/andurilindustries/jobs/5034650007?gh_jid=5034650007
